PID,Arrival,Burst,Start,Finish,Response,Turnaround,Waiting
2,3,9,8,35,5,32,23
4,26,9,31,56,5,30,21
1,0,48,1,114,1,114,66
3,20,53,22,127,2,107,54
2,3,9,8,35,5,32,23
4,26,9,31,56,5,30,21
1,0,48,1,114,1,114,66
3,20,53,22,127,2,107,54
2,1,4,3,35,2,34,30
4,3,5,7,38,4,35,30
1,0,8,1,112,1,112,104
3,2,9,5,119,3,117,108
2,1,4,3,35,2,34,30
4,3,5,7,38,4,35,30
1,0,8,1,112,1,112,104
3,2,9,5,119,3,117,108
2,1,4,3,35,2,34,30
4,3,5,7,38,4,35,30
1,0,8,1,112,1,112,104
3,2,9,5,119,3,117,108
2,1,4,3,35,2,34,30
4,3,5,7,38,4,35,30
1,0,8,1,112,1,112,104
3,2,9,5,119,3,117,108
2,1,4,3,35,2,34,30
4,3,5,7,38,4,35,30
1,0,8,1,112,1,112,104
3,2,9,5,119,3,117,108
2,1,4,3,37,2,36,32
4,3,5,7,42,4,39,34
1,0,8,1,106,1,106,98
3,2,9,5,119,3,117,108
2,1,4,3,37,2,36,32
4,3,5,7,42,4,39,34
1,0,8,1,106,1,106,98
3,2,9,5,119,3,117,108
2,1,4,3,37,2,36,32
4,3,5,7,42,4,39,34
1,0,8,1,106,1,106,98
3,2,9,5,119,3,117,108
2,1,4,3,37,2,36,32
4,3,5,7,42,4,39,34
1,0,8,1,106,1,106,98
3,2,9,5,119,3,117,108
2,1,4,3,37,2,36,32
4,3,5,7,42,4,39,34
1,0,8,1,106,1,106,98
3,2,9,5,119,3,117,108
